"Twitter Id","Account Create Date (UTC)","Real Name","User Name","Twitter URL","Profile Image URL",Location,Bio,URL,"No. of Tweets",Followers,Following,"No. of Lists","Favourites Count","Time Zone","Verified Account",Language,Protected,"Last Status","Last Status Date (UTC)"
34852681,"2009-04-24 04:57:12","KATRINA CAMPINS",KatrinaCampins,https://twitter.com/KatrinaCampins,https://pbs.twimg.com/profile_images/593188371251351552/w3uExsqi_normal.jpg,"Peace Within","Real Estate Mogul/TV Personality over $850 Million SOLD! 1st Season: Trump’s “The Apprentice” + E! Hot Listings Miami + Fox News + Donald Trump's Surrogate",https://t.co/y2V88nky3g,13432,312728,1942,924,1804,"Eastern Time (US & Canada)",Yes,en,No,"Just Listed By Me! $1,499,000
Miami Beach!!!! 
5229 Alton Road
5 Bedroom 5.5 Bath 
Gorgeously… https://t.co/I2DV8Iq5bF","2017-11-10 18:55:31"
25429371,"2009-03-20 01:25:06","Katrina Pierson",KatrinaPierson,https://twitter.com/KatrinaPierson,https://pbs.twimg.com/profile_images/908890337275346945/nxwRIe0M_normal.jpg,"Washington, DC","Sr. Advisor/Natl Spox | 2016 Campaign Spox @realdonaldtrump aka @POTUS #MAGA @americafirstpol @americafirstPAC SnapID: snapKatPierson1 Inventor DAL ✈️ DCA 🇺🇸",https://t.co/pvs5wP8FBp,40196,357321,2249,2635,5560,America/Chicago,Yes,en,No,"Wouldn’t it be nice if establishment Republicans held their Democrat colleagues to the same standard that they hold… https://t.co/iAoHoM2j91","2017-11-13 21:27:24"
52136185,"2009-06-29 18:11:49","Michael Cohen",MichaelCohen212,https://twitter.com/MichaelCohen212,https://pbs.twimg.com/profile_images/642687696473882624/jHvVFZYt_normal.jpg,"New York","Personal attorney to President Donald J. Trump",,9032,278649,117,1605,7701,"Atlantic Time (Canada)",Yes,en,No,"You know the holiday season is almost upon us when the #ChristmasTree is being installed at #RockefellerPlaza #NYC https://t.co/K0Wf8wgZpD","2017-11-14 03:17:34"
15513604,"2008-07-21 10:50:09","FOX &amp; friends",foxandfriends,https://twitter.com/foxandfriends,https://pbs.twimg.com/profile_images/875377436728242176/Tl1NbadV_normal.jpg,"New York City","America's #1 cable morning news show",https://t.co/xg790NQUNl,74779,1070063,1713,7525,5360,"Eastern Time (US & Canada)",Yes,en,No,"Is the GOP establishment out of touch with their own base? | @Mark_Penn https://t.co/VaRPW9RtAh","2017-11-14 00:55:06"
108471631,"2010-01-26 01:48:43","MELANIA TRUMP",MELANIATRUMP,https://twitter.com/MELANIATRUMP,https://pbs.twimg.com/profile_images/726781589192069126/zg456hZZ_normal.jpg,"New York City","The official profile for Melania Trump",,1179,906864,55,2979,2,"Eastern Time (US & Canada)",Yes,en,No,"🇺🇸 https://t.co/CcV2HZ1roV","2016-11-08 13:28:21"
246500501,"2011-02-02 22:17:56","Geraldo Rivera",GeraldoRivera,https://twitter.com/GeraldoRivera,https://pbs.twimg.com/profile_images/565927841381253120/-iHS2dYA_normal.jpeg,"New York City","loving husband and dad, loyal friend, fierce enemy, patriot, kick ass reporter, proud JewRican",https://t.co/S2mJWiBvw9,7189,178647,576,1816,598,"Eastern Time (US & Canada)",Yes,en,No,"If I was advising #JudgeRoyMoore it would be to keep the hat but dump the leather vest. It's a couple of sizes small &amp;amp; find another calling","2017-11-14 05:00:08"
14839147,"2008-05-19 23:36:04","Eric Bolling",ericbolling,https://twitter.com/ericbolling,https://pbs.twimg.com/profile_images/847506007768965120/M_kAf9P6_normal.jpg,"                 NYC","New York Times Bestsellers &quot;The Swamp&quot; and &quot;Wake Up America&quot; can be ordered at https://t.co/l7cB6xeroe. #MAGA",,29970,833431,518,4623,6,"Eastern Time (US & Canada)",Yes,en,No,"Ahem @GQMagazine... JJ Watts raised $37mil+ for Hurricane Harvey victims... Any chance you rethink your “Citizen of… https://t.co/MXYlutza0M","2017-11-13 21:43:49"
316865635,"2011-06-14 02:36:07","Mark Burnett",MarkBurnettTV,https://twitter.com/MarkBurnettTV,https://pbs.twimg.com/profile_images/623997267582693376/-C5wUdb5_normal.jpg,"Los Angeles","Official Mark Burnett Twitter Page - Taking you backstage and behind the scenes of some of the biggest hits on TV.",,2705,198794,502,1380,31,"Pacific Time (US & Canada)",Yes,en,No,"RT @NBCTheVoice: This is it! RETWEET because the final week of #VoiceBlinds start NOW on @nbc. https://t.co/UJ4KvzRosp","2017-10-10 00:37:06"
26829777,"2009-03-26 19:40:53","Gary Player",garyplayer,https://twitter.com/garyplayer,https://pbs.twimg.com/profile_images/1097028105/gp_3_normal.jpg,"South Africa","Black Knight, Grand Slam Golfer, Philanthropist, Father, Course Designer &amp; Fitness Fanatic. I'm old, get over it. #family #faith  https://t.co/i7GsbD5eHD",https://t.co/66N4vOMM1L,21865,366568,2753,1917,331,"Eastern Time (US & Canada)",Yes,en,No,"It was such a terrific week in Sun City for Africa’s Major. Congratulations to Branden and many thanks to Nedbank,… https://t.co/OO5ziLuE0t","2017-11-13 23:04:28"
1222639789,"2013-02-26 18:06:09","Vince McMahon",VinceMcMahon,https://twitter.com/VinceMcMahon,https://pbs.twimg.com/profile_images/649622876547477504/-X0t_VTF_normal.jpg,"Greenwich, Conn.","Vince McMahon, Chairman &amp; CEO of WWE, Inc., is a third generation promoter who has made WWE into the global phenomenon it is today.",http://t.co/VTqOjYiSh7,373,1879455,25,3364,0,,Yes,en,No,"Thanking all of those who have courageously fought for our freedom. #VeteransDay https://t.co/csPYkZfSht","2017-11-11 15:00:15"
